id,name,references,strong,close,total
b22002352,Lieutenant H. G. Garland,1,1,0,1
b2200239x,Sergeant C. J. (Rappie) Backman,1,0,2,2
b22002406,Private Robert A. Moody,1,0,2,2
b22002935,Allen [sic] Oswald Coker,3,2,1,3
b22003071,Private H. W. Richards,2,4,5,9
b22003083,Driver Alfred Pepall,1,1,0,1
b22003101,Charles Powell,1,0,1,1
b22003125,Gunner Hubert Paterson,1,0,2,2
b22003149,Leonard Reed,1,0,1,1
b22003186,Gunner Thomas J. Ryan,1,0,5,5
b22003228,Private T. F. Shephard,1,0,2,2
b22004099,Private A. J. McLaren,1,1,5,6
b2205862x,Private Maurice Theobald,3,3,1,4
b22063390,George Clark,1,0,2,2
b22063420,Private George Danford Neave,2,0,0,0
b22063456,Lieutenant Frank Rosevear,2,2,1,3
b22063523,Private Harry Emsley,1,2,0,2
b22063535,Private L. Dodd,3,3,8,11
b22063560,Lieutenant Sydney C. Stockham,2,3,0,3
b22066421,Lieutenant Alfred H. Moss,2,1,6,7
b22079786,Private Claud William Mason,3,3,5,8
b22093710,Sergeant Percy Oliver Gunn,3,0,7,7
b22108245,Private B. C. Dawe,1,4,0,4
b22114658,Driver Arthur Cooper,1,1,1,2
b2211466x,Corporal George L. Grinter,3,1,1,2
b22114683,Private William Taylor,2,3,5,8
b22122990,Private Sydney Oldfield,1,2,0,2
b22132776,Private A. G. Chatfield,2,3,0,3
b22201373,Private Henry S. Baker,2,2,7,9
b22201385,Private William Campbell,2,2,6,8
b22201427,Sergeant Wilfred Chinner,3,2,0,2
b22201452,Private Thomas Ellis,2,2,3,5
b22201464,Sapper Len Hughes,2,2,1,3
b2220149x,Private Roy Long,2,1,52,53
b22201518,Private George Lintern,3,1,1,2
b2220152x,Corporal Alex Miller,2,2,3,5
b22201543,Corporal Herbert McInnes,1,0,0,0
b22201555,Sergeant Sydney Rupert Murphy,2,2,3,5
b22201580,Acting-Corporal William Prior,3,3,6,9
b22201609,Private James E. Regan,2,1,0,1
b22201658,Sergeant L. L. Rundle,2,1,9,10
b22201713,Private H. E. Spencer,1,1,4,5
b22201749,Corporal M. P. Houlahan,1,1,0,1
b22201750,Private J. A. Houlahan,1,1,0,1
b22201762,Leo Liston,1,1,0,1
b22201798,Corporal H. A. Talbot,1,0,1,1
b22201804,Private Harold Farnham,4,1,3,4
b22201816,Private Charles Tiver,2,2,1,3
b2220183x,Driver Hartley J. Stewart,1,0,2,2
b22201853,Private Fred Mason,4,4,8,12
b22201877,Lance-Corporal Hughie Bawden,3,1,5,6
b22201889,Lieutenant Ray H. Grove,1,0,2,2
b22201932,Private Cyril Neilson,2,0,1,1
b22201944,Private A. E. Shiell,2,0,0,0
b22202006,Julian Edmund McGuire,3,1,3,4
b2220202x,Lance-Corporal Bert Freeman,3,3,3,6
b22202080,Private C. W. Allmond,3,1,1,2
b22202092,Signaller Minter Curwood Farmer,2,2,16,18
b22202109,Private Norman Retchford,2,0,1,1
b22202110,Private J. Baumgarten,2,1,1,2
b22202122,Driver S. Swift,1,0,3,3
b22202134,Private Jack Witcomb,3,2,1,3
b22202146,Private Maxwell Ronald Harrison,3,2,6,8
b22202158,Private D. C. Dennis,1,0,5,5
b2220216x,Private Leslie Dunkley,2,1,1,2
b22202201,Signaller Leslie Bower,1,0,1,1
b22202225,Sergeant-Major Stan Dyer,1,0,1,1
b22202237,Lieutenant Cecil Oswald,2,0,3,3
b22202249,Private C. William Winkler,2,0,1,1
b22202250,Private Frank W. George,3,1,50,51
b22202262,Private Sydney Ness,2,1,18,19
b22202274,Lieutenant W. Gordon Colliver,2,1,1,2
b22202286,Private Philip Gawler Guy,2,2,2,4
b22202948,Private W. Bloomfield (sic),1,0,0,0
b22202961,Private D. M. Miller,1,0,6,6
b22202985,Temporary-Sergeant W. H. Sedgley,1,1,0,1
b22202997,Bombardier D. O'Sullivan,1,0,2,2
b2220300x,Captain J. McGlashan,1,0,0,0
b22203023,Private A. Morgan,1,1,1,2
